# mass(kg)	vt_num	vt_analytic
0.001	0.313209	0.313209
0.00116895	0.338636	0.338636
0.00136645	0.366126	0.366126
0.00159731	0.395849	0.395849
0.00186718	0.427984	0.427984
0.00218264	0.462728	0.462728
0.00255141	0.500293	0.500293
0.00298247	0.540907	0.540907
0.00348637	0.584818	0.584818
0.00407539	0.632294	0.632294
0.00476394	0.683624	0.683624
0.00556881	0.739122	0.739122
0.00650968	0.799124	0.799124
0.0076095	0.863997	0.863997
0.00889513	0.934137	0.934137
0.010398	1.00997	1.00997
0.0121547	1.09196	1.09196
0.0142083	1.18061	1.18061
0.0166088	1.27645	1.27645
0.0194149	1.38007	1.38007
0.0226951	1.49211	1.49211
0.0265295	1.61324	1.61324
0.0310117	1.7442	1.7442
0.0362512	1.8858	1.8858
0.0423759	2.03889	2.03889
0.0495354	2.20441	2.20441
0.0579044	2.38336	2.38336
0.0676875	2.57685	2.57685
0.0791234	2.78604	2.78604
0.0924915	3.01221	3.01221
0.108118	3.25674	3.25674
0.126385	3.52113	3.52113
0.147738	3.80698	3.80698
0.172698	4.11603	4.11603
0.201876	4.45017	4.45017
0.235983	4.81144	4.81144
0.275853	5.20204	5.20204
0.322459	5.62434	5.62434
0.376939	6.08093	6.08093
0.440624	6.57459	6.57459
0.515068	7.10832	7.10832
0.602089	7.68537	7.68537
0.703814	8.30928	8.30928
0.822724	8.98383	8.98383
0.961725	9.71315	9.71315
1.12421	10.5017	10.5017
1.31415	11.3542	11.3542
1.53617	12.2759	12.2759
1.79571	13.2724	13.2725
2.0991	14.3495	14.35
2.45375	15.5127	15.5149
2.86832	16.7666	16.7744
3.35292	18.113	18.1362
3.91941	19.5489	19.6085
4.5816	21.0652	21.2003
5.35567	22.6464	22.9214
6.26052	24.2691	24.7822
7.31824	25.9083	26.794
8.55467	27.5366	28.9692
10	29.1247	31.3209
